check_time,water_temp,in_air_temp,bp0_sb0_out_air_temp,bp0_sb0_cpu_0_temp,bp0_sb0_cpu_1_temp,bp0_sb0_cpu_2_temp,bp0_sb0_cpu_3_temp,bp0_sb1_out_air_temp,bp0_sb1_cpu_0_temp,bp0_sb1_cpu_1_temp,bp0_sb1_cpu_2_temp,bp0_sb1_cpu_3_temp,bp0_sb2_out_air_temp,bp0_sb2_cpu_0_temp,bp0_sb2_cpu_1_temp,bp0_sb2_cpu_2_temp,bp0_sb2_cpu_3_temp,bp0_sb3_out_air_temp,bp0_sb3_cpu_0_temp,bp0_sb3_cpu_1_temp,bp0_sb3_cpu_2_temp,bp0_sb3_cpu_3_temp,bp0_sb4_out_air_temp,bp0_sb4_cpu_0_temp,bp0_sb4_cpu_1_temp,bp0_sb4_cpu_2_temp,bp0_sb4_cpu_3_temp,bp0_sb5_out_air_temp,bp0_sb5_cpu_0_temp,bp0_sb5_cpu_1_temp,bp0_sb5_cpu_2_temp,bp0_sb5_cpu_3_temp,bp0_sb6_out_air_temp,bp0_sb6_cpu_0_temp,bp0_sb6_cpu_1_temp,bp0_sb6_cpu_2_temp,bp0_sb6_cpu_3_temp,bp0_sb7_out_air_temp,bp0_sb7_cpu_0_temp,bp0_sb7_cpu_1_temp,bp0_sb7_cpu_2_temp,bp0_sb7_cpu_3_temp,bp0_sb8_out_air_temp,bp0_sb8_cpu_0_temp,bp0_sb8_cpu_1_temp,bp0_sb8_cpu_2_temp,bp0_sb8_cpu_3_temp,bp0_sb9_out_air_temp,bp0_sb9_cpu_0_temp,bp0_sb9_cpu_1_temp,bp0_sb9_cpu_2_temp,bp0_sb9_cpu_3_temp,bp0_sb10_out_air_temp,bp0_sb10_cpu_0_temp,bp0_sb10_cpu_1_temp,bp0_sb10_cpu_2_temp,bp0_sb10_cpu_3_temp,bp0_sb11_out_air_temp,bp0_sb11_cpu_0_temp,bp0_sb11_cpu_1_temp,bp0_sb11_cpu_2_temp,bp0_sb11_cpu_3_temp,bp1_sb0_out_air_temp,bp1_sb0_cpu_0_temp,bp1_sb0_cpu_1_temp,bp1_sb0_cpu_2_temp,bp1_sb0_cpu_3_temp,bp1_sb1_out_air_temp,bp1_sb1_cpu_0_temp,bp1_sb1_cpu_1_temp,bp1_sb1_cpu_2_temp,bp1_sb1_cpu_3_temp,bp1_sb2_out_air_temp,bp1_sb2_cpu_0_temp,bp1_sb2_cpu_1_temp,bp1_sb2_cpu_2_temp,bp1_sb2_cpu_3_temp,bp1_sb3_out_air_temp,bp1_sb3_cpu_0_temp,bp1_sb3_cpu_1_temp,bp1_sb3_cpu_2_temp,bp1_sb3_cpu_3_temp,bp1_sb4_out_air_temp,bp1_sb4_cpu_0_temp,bp1_sb4_cpu_1_temp,bp1_sb4_cpu_2_temp,bp1_sb4_cpu_3_temp,bp1_sb5_out_air_temp,bp1_sb5_cpu_0_temp,bp1_sb5_cpu_1_temp,bp1_sb5_cpu_2_temp,bp1_sb5_cpu_3_temp,bp1_sb6_out_air_temp,bp1_sb6_cpu_0_temp,bp1_sb6_cpu_1_temp,bp1_sb6_cpu_2_temp,bp1_sb6_cpu_3_temp,bp1_sb7_out_air_temp,bp1_sb7_cpu_0_temp,bp1_sb7_cpu_1_temp,bp1_sb7_cpu_2_temp,bp1_sb7_cpu_3_temp,bp1_sb8_out_air_temp,bp1_sb8_cpu_0_temp,bp1_sb8_cpu_1_temp,bp1_sb8_cpu_2_temp,bp1_sb8_cpu_3_temp,bp1_sb9_out_air_temp,bp1_sb9_cpu_0_temp,bp1_sb9_cpu_1_temp,bp1_sb9_cpu_2_temp,bp1_sb9_cpu_3_temp,bp1_sb10_out_air_temp,bp1_sb10_cpu_0_temp,bp1_sb10_cpu_1_temp,bp1_sb10_cpu_2_temp,bp1_sb10_cpu_3_temp,bp1_sb11_out_air_temp,bp1_sb11_cpu_0_temp,bp1_sb11_cpu_1_temp,bp1_sb11_cpu_2_temp,bp1_sb11_cpu_3_temp
2019-05-28 14:00:01,16.96,22.81,26.69,17.53,18.48,19.44,17.53,26.31,16.89,17.53,17.53,16.26,26.12,16.89,18.48,18.8,17.85,26.38,17.53,18.48,18.8,18.17,24.94,18.17,18.8,19.44,18.48,25.62,16.58,17.85,17.85,17.21,24.69,18.48,19.44,19.76,18.48,25.38,17.85,18.48,18.17,16.89,24.62,17.21,18.8,18.17,17.21,24.62,17.53,18.48,18.48,17.53,24.56,17.85,18.17,18.48,17.53,25.5,17.53,18.8,19.44,17.53,24.88,17.21,17.53,17.85,16.89,24.69,16.89,17.53,17.85,17.53,24.12,16.58,17.85,17.53,16.58,24.56,17.53,18.48,17.53,16.89,24.44,17.53,17.85,18.17,17.21,25.5,17.53,17.53,18.17,16.89,24.69,18.48,18.48,18.17,17.85,24.88,17.21,17.85,17.85,16.89,24.94,17.53,19.12,18.8,18.17,25.44,17.21,17.85,19.12,17.53,26.44,16.89,16.89,17.21,16.26,26.06,18.48,18.48,18.17,18.17
2019-05-28 14:05:01,17.07,22.81,26.69,17.85,18.8,19.44,17.85,26.31,16.89,17.85,17.85,16.58,26.12,16.89,18.48,18.8,18.17,26.38,17.53,18.48,18.8,18.17,24.94,18.48,19.12,19.76,18.48,25.62,16.89,17.85,17.85,17.21,24.75,18.8,19.76,20.07,18.8,25.38,17.85,18.8,18.17,17.21,24.56,17.53,18.8,18.17,17.21,24.62,17.53,18.48,18.48,17.53,24.56,17.85,18.17,18.48,17.53,25.5,17.85,19.12,19.76,17.85,24.88,17.53,17.85,18.17,17.21,24.69,17.21,17.85,18.17,17.85,24.12,16.58,17.85,17.85,16.89,24.56,17.53,18.48,17.85,16.89,24.44,17.53,17.85,18.17,17.53,25.5,17.85,17.85,18.48,17.21,24.69,18.48,18.8,18.17,18.17,24.88,17.53,17.85,18.17,17.21,24.88,17.53,19.12,18.8,18.17,25.38,17.53,18.48,19.44,17.85,26.38,17.21,17.21,17.53,16.58,26.06,18.48,18.48,18.17,18.48
2019-05-28 14:10:01,16.96,22.81,26.69,17.85,18.8,19.76,17.85,26.25,17.21,17.85,17.85,16.58,26.06,17.21,18.8,19.12,18.17,26.31,17.53,18.8,19.12,18.17,24.88,18.48,19.12,19.76,18.8,25.56,16.89,18.17,18.17,17.53,24.75,18.8,19.76,20.07,18.8,25.38,18.17,18.8,18.48,17.21,24.56,17.53,19.12,18.48,17.53,24.56,17.85,18.8,18.48,17.53,24.56,18.17,18.48,18.8,17.53,25.5,17.85,19.12,20.07,17.85,24.88,17.53,17.85,18.17,17.21,24.69,17.21,17.85,18.17,17.85,24.12,16.89,17.85,17.85,16.89,24.56,17.85,18.8,17.85,16.89,24.44,17.53,18.17,18.48,17.53,25.5,17.85,17.85,18.48,17.53,24.69,18.8,18.8,18.48,18.17,24.81,17.53,17.85,18.17,17.21,24.88,17.85,19.44,19.12,18.48,25.38,17.85,18.17,19.44,17.85,26.38,17.21,17.21,17.53,16.58,26.06,18.8,18.48,18.48,18.48
2019-05-28 14:15:01,16.96,22.69,26.62,17.53,18.8,19.44,17.53,26.25,16.89,17.53,17.53,16.26,26.06,16.89,18.48,18.8,18.17,26.31,17.85,18.8,19.12,18.17,24.94,18.17,18.8,19.44,18.48,25.56,16.89,17.85,17.85,17.21,24.75,18.8,19.44,20.07,18.8,25.38,17.85,18.8,18.17,17.21,24.62,17.53,18.8,18.48,17.21,24.56,17.21,18.48,18.48,17.53,24.56,17.85,18.17,18.48,17.21,25.5,17.53,18.8,19.44,17.53,24.88,17.21,17.21,17.53,16.89,24.69,17.21,17.85,18.17,17.85,24.12,16.58,17.53,17.53,16.26,24.5,17.53,18.17,17.53,16.58,24.44,17.21,17.53,18.17,17.21,25.44,17.53,17.53,18.17,16.89,24.62,18.17,18.48,17.85,17.85,24.81,17.21,17.53,17.85,16.89,24.81,17.53,18.8,18.8,17.85,25.38,17.21,17.85,19.12,17.53,26.38,16.58,16.89,17.21,16.26,26.06,18.48,18.8,18.48,18.48
2019-05-28 14:20:02,17.07,22.69,26.62,17.53,18.48,19.44,17.53,26.25,16.89,17.53,17.53,16.26,26.06,16.89,18.48,18.8,17.85,26.38,17.85,18.8,19.12,18.48,24.88,18.17,18.8,19.44,18.48,25.56,16.58,17.85,17.85,17.21,24.69,18.48,19.44,19.76,18.48,25.31,17.85,18.48,18.17,16.89,24.62,17.21,18.8,18.17,17.21,24.62,17.53,18.48,18.48,17.21,24.56,17.85,18.17,18.48,17.21,25.44,17.53,18.8,19.44,17.53,24.88,17.21,17.21,17.85,16.89,24.69,17.21,17.85,18.48,17.85,24.06,16.58,17.53,17.53,16.58,24.5,17.53,18.48,17.53,16.58,24.38,17.21,17.85,18.17,17.21,25.5,17.85,17.85,18.48,17.21,24.69,18.48,18.8,18.17,18.17,24.81,17.21,17.85,17.85,17.21,24.88,17.53,19.12,18.8,18.17,25.38,17.53,18.17,19.12,17.53,26.38,16.89,16.89,17.21,16.26,26.06,18.8,18.8,18.48,18.48
2019-05-28 14:25:01,16.96,22.69,26.62,17.53,18.48,19.44,17.53,26.25,16.89,17.53,17.53,16.26,26.06,16.89,18.48,18.8,18.17,26.38,17.53,18.48,18.8,17.85,24.88,18.17,18.8,19.76,18.48,25.56,16.58,17.85,17.85,17.21,24.69,18.8,19.44,19.76,18.8,25.31,17.85,18.8,18.17,16.89,24.62,17.53,18.8,18.17,17.21,24.56,17.53,18.8,18.48,17.53,24.5,17.85,18.48,18.48,17.53,25.5,17.85,18.8,19.76,17.53,24.88,17.53,17.53,17.85,17.21,24.69,17.21,17.85,18.17,17.85,24.06,16.89,17.85,17.85,16.89,24.5,17.53,18.48,17.85,16.89,24.38,17.53,17.85,18.17,17.53,25.44,17.85,17.85,18.48,17.21,24.69,18.17,18.48,17.85,17.85,24.81,17.21,17.53,17.85,16.89,24.88,17.53,19.12,18.8,18.17,25.38,17.21,17.85,19.12,17.21,26.38,16.58,16.89,17.21,16.26,26.0,18.48,18.48,18.48,18.17
2019-05-28 14:30:01,16.96,22.69,26.56,17.53,18.48,19.44,17.53,26.19,16.89,17.85,17.53,16.26,26.0,16.89,18.48,18.8,18.17,26.25,17.53,18.8,19.12,18.17,24.81,17.53,18.48,19.12,18.17,25.5,16.58,17.53,17.53,17.21,24.62,18.48,19.44,19.76,18.8,25.25,17.85,18.48,18.17,16.89,24.62,17.21,18.48,17.85,16.89,24.56,17.53,18.48,18.48,17.21,24.5,17.85,18.17,18.17,17.21,25.44,17.21,18.17,18.8,17.21,24.81,17.53,17.53,17.85,17.21,24.62,17.21,17.85,18.48,17.85,24.12,16.26,17.21,17.21,16.26,24.5,17.21,18.17,17.21,16.58,24.38,16.89,17.21,17.53,16.89,25.44,17.21,16.89,17.53,16.58,24.62,18.17,18.17,17.85,17.85,24.81,17.21,17.53,17.85,17.21,24.81,17.53,19.12,19.12,18.17,25.38,17.53,18.17,19.12,17.53,26.31,16.89,17.21,17.53,16.58,26.0,18.48,18.48,18.17,18.17
2019-05-28 14:35:02,16.96,22.69,26.56,17.85,18.8,19.44,17.53,26.19,16.89,17.85,17.85,16.26,26.0,16.89,18.48,18.8,18.17,26.31,17.53,18.48,19.12,18.17,24.88,18.48,19.12,19.76,18.8,25.56,16.89,18.17,18.17,17.53,24.69,18.8,19.76,20.07,18.8,25.25,18.17,18.8,18.48,17.21,24.5,17.53,19.12,18.48,17.53,24.56,17.85,18.8,18.8,17.85,24.5,18.17,18.48,18.8,17.53,25.44,17.85,19.12,20.07,17.85,24.81,17.53,17.85,18.17,17.21,24.62,17.21,17.85,18.17,17.85,24.12,16.89,17.85,18.17,16.89,24.5,17.85,18.8,17.85,17.21,24.38,17.53,18.17,18.48,17.53,25.5,18.17,17.85,18.48,17.53,24.62,18.48,18.8,18.48,18.48,24.75,17.53,17.85,18.17,17.53,24.81,17.85,19.12,19.12,18.48,25.31,17.53,18.17,19.44,17.85,26.38,17.21,17.21,17.53,16.58,26.06,18.8,18.48,18.48,18.48
2019-05-28 14:40:01,16.96,22.69,26.56,17.53,18.48,19.44,17.53,26.25,16.89,17.53,17.53,16.26,26.06,16.89,18.48,18.8,17.85,26.38,17.53,18.48,19.12,18.17,24.94,17.85,18.8,19.44,18.48,25.62,16.58,17.85,17.85,17.21,24.75,18.48,19.44,19.76,18.8,25.31,17.85,18.48,18.17,16.89,24.62,17.21,18.8,18.17,16.89,24.56,17.53,18.48,18.48,17.21,24.56,17.85,18.17,18.48,17.21,25.5,17.53,18.8,19.76,17.53,24.81,17.21,17.53,17.53,16.89,24.62,16.89,17.53,17.85,17.53,24.06,16.58,17.85,17.85,16.58,24.44,17.53,18.48,17.53,16.89,24.38,17.53,17.85,18.17,17.21,25.44,17.85,17.53,18.17,17.21,24.62,18.48,18.48,18.17,17.85,24.81,17.21,17.53,17.85,16.89,24.81,17.53,18.8,18.8,18.17,25.38,17.21,17.85,18.8,17.53,26.38,16.89,16.89,17.21,16.26,26.06,18.8,18.48,18.48,18.48
2019-05-28 14:45:01,16.96,22.75,26.56,17.53,18.8,19.44,17.53,26.25,16.89,17.85,17.85,16.58,26.06,16.89,18.48,18.8,18.17,26.31,17.85,18.8,19.44,18.48,24.88,18.17,18.8,19.44,18.48,25.56,16.89,17.85,17.85,17.21,24.62,18.8,19.76,20.07,18.8,25.31,17.85,18.8,18.17,17.21,24.56,17.53,18.8,18.48,17.21,24.56,17.53,18.8,18.48,17.53,24.5,18.17,18.48,18.8,17.53,25.5,17.85,19.12,19.76,17.85,24.81,17.53,17.85,17.85,17.21,24.69,17.21,17.85,18.17,17.53,24.06,16.89,17.85,17.85,16.89,24.5,17.85,18.48,17.85,16.89,24.38,17.53,17.85,18.17,17.53,25.38,17.85,17.85,18.48,17.21,24.56,18.48,18.48,18.17,18.17,24.75,17.21,17.85,17.85,17.21,24.81,17.53,19.12,19.12,18.17,25.31,17.53,18.17,19.12,17.53,26.31,16.89,16.89,17.21,16.26,26.0,18.8,18.8,18.48,18.48
